"voted2004","gender","ageY","ageC","educationC","incomeC","partyAffiliation","percentAttended"
"yes","M",20.9482381265047,"(19.2,36.7]","secondary","< 35k","Republican",0.125
"yes","F",47.0370978332239,"(45.8,54.2]","secondary","> 75k","Unaffiliated/Other",0.0571428571428571
"yes","F",70.3354125629241,"(54.2,108]","postsec","35k-75k","Democrat",0.431818181818182
"yes","M",32.263624425476,"(19.2,36.7]","secondary","> 75k","Republican",0.318181818181818
"no","F",19.4654191289122,"(19.2,36.7]","secondary","< 35k","Unaffiliated/Other",0.2
"yes","M",45.3299409061064,"(36.7,45.8]","secondary","35k-75k","Republican",0.272727272727273
"yes","F",31.3252352812432,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0.1
"yes","F",56.2103304880718,"(54.2,108]","primary","< 35k","Unaffiliated/Other",0.0681818181818182
"yes","F",51.0943313635369,"(45.8,54.2]","primary","< 35k","Republican",0.227272727272727
"no","F",48.1369008535785,"(45.8,54.2]","primary","35k-75k","Unaffiliated/Other",0
"yes","F",47.2833223900197,"(45.8,54.2]","secondary","35k-75k","Democrat",0.59375
"yes","F",59.4987962355001,"(54.2,108]","secondary","35k-75k","Republican",0.477272727272727
"no","F",57.9913547822281,"(54.2,108]","secondary","35k-75k","Unaffiliated/Other",0.295454545454545
"no","M",33.3141825344714,"(19.2,36.7]","postsec","35k-75k","Unaffiliated/Other",0
"yes","M",39.6394178157146,"(36.7,45.8]","secondary","35k-75k","Republican",0.295454545454545
"no","M",23.6320857955789,"(19.2,36.7]","primary","35k-75k","Unaffiliated/Other",0
"no","F",34.4003064127818,"(19.2,36.7]","primary","< 35k","Unaffiliated/Other",0
"no","F",57.958524841322,"(54.2,108]","secondary","> 75k","Republican",0.705882352941177
"yes","M",56.3170277960166,"(54.2,108]","primary","35k-75k","Democrat",0.131578947368421
"no","F",31.3142919676078,"(19.2,36.7]","secondary","< 35k","Democrat",0.5
"yes","F",45.5433355219961,"(36.7,45.8]","secondary","35k-75k","Unaffiliated/Other",0.454545454545455
"no","M",48.6211424819435,"(45.8,54.2]","secondary","35k-75k","Democrat",0.625
"yes","F",45.3080542788356,"(36.7,45.8]","secondary","35k-75k","Republican",0.568181818181818
